rating_numeric,rating_rolling_mean,rating_rolling_std,rating_momentum,is_downgrade,is_upgrade,macro_10y_treasury_rate,macro_fed_funds_rate,yield_curve_spread,currentRatio,quickRatio,debtRatio,netProfitMargin,returnOnAssets,returnOnEquity,approximated_ytm,target_rating,Name,Year
4,3.0,1.7320508075688772,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,2.38311999,1.05120126,0.455062913,0.124650715,0.070005514,0.128465315,40.5023,4,Lam Research Corporation,2016
4,4.0,0.0,3.0,0,0,1.8416666666666668,0.395,1.4466666666666668,3.808126037,3.343281392,0.519659084,0.155294872,0.074485345,0.155067667,40.4717,4,Lam Research Corporation,2016
1,1.0,0.0,0.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,1.165853517,0.81408052,0.698960545,0.194008258,0.077413675,0.257154582,41.4308,1,Lamar Advertising Company,2015
0,0.0,0.0,0.0,0,0,1.8025,0.14,1.6625,0.573509174,0.476471933,0.533061736,0.208461786,0.064850472,0.138884466,41.2586,0,"Laredo Petroleum, Inc.",2012
0,0.0,0.0,0.0,0,0,2.3508333333333336,0.1075,2.2433333333333336,0.52443259,0.464413816,0.644305018,0.104839478,0.026366974,0.074128045,41.4751,0,"Laredo Petroleum, Inc.",2013
0,0.0,0.0,0.0,0,0,2.540833333333333,0.08916666666666667,2.451666666666666,1.21120688,1.146899818,0.515101991,0.17737506,0.044973626,0.092748629,41.5798,0,"Laredo Petroleum, Inc.",2014
0,0.0,0.0,0.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,0.859368272,0.825483207,0.602496752,0.334523262,0.067532026,0.1698905,41.5089,0,"Laredo Petroleum, Inc.",2015
0,0.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,1.532329405,1.465110809,0.927508993,-3.642911776,-1.218745847,-16.81237305,41.2464,0,"Laredo Petroleum, Inc.",2016
0,0.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,0.823522839,0.747484636,0.898688021,-0.436472384,-0.146289778,-1.443953415,41.2696,0,"Laredo Petroleum, Inc.",2016
1,1.0,0.0,0.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,1.464712769,1.39900533,0.67519873,0.168220264,0.093686404,0.288442234,41.3816,1,Las Vegas Sands Corp.,2015
0,0.0,0.0,0.0,0,0,2.1358333333333333,0.1325,2.0033333333333334,6.558818688,5.222006387,0.136240769,0.132686199,0.095156014,0.110164975,41.0159,0,Lattice Semiconductor Corporation,2015
0,0.0,0.0,0.0,0,0,1.8416666666666668,0.395,1.4466666666666668,1.997461123,1.37414789,0.647364722,-0.12667953,-0.070544007,-0.200048072,40.6351,0,Lattice Semiconductor Corporation,2016
1,1.0,0.0,0.0,0,0,1.8025,0.14,1.6625,1.554267994,1.186420761,0.652483989,0.038194469,0.077122766,0.221925792,39.6489,1,Lear Corporation,2012
